anterior|الأمامي|الأمامية
metacarpal|المشطي اليدي|المشطية اليدية
metatarsal|المشطي القدمي|المشطية القدمية
palmar|الراحي|الراحية
plantar|الأخمصي|الأخمصية
dorsal|الظهري|الظهرية
digital|الإصبعي|الإصبعية
common|المشترك|المشتركة
proper|الخاص|الخاصة
variant|المتغير تشريحيًا|المتغيرة تشريحيًا
esophageal|المريئي|المريئية
oesophageal|المريئي|المريئية
gastric|المعدي|المعدية
pancreatic|البنكرياسي|البنكرياسية
pancreaticoduodenal|البنكرياسي الاثنا عشري|البنكرياسية الاثنا عشرية
cecal|الأعوري|الأعورية
appendicular|الزائدي|الزائدية
ileal|اللفائفي|اللفائفية
colic|القولوني|القولونية
sigmoid|السيني|السينية
rectal|المستقيمي|المستقيمية
mesenteric|المساريقي|المساريقية
phrenic|الحجابي|الحجابية
epigastric|الشرسوفي|الشرسوفية
thyroid|الدرقي|الدرقية
suprarenal|الكظري|الكظرية
testicular|الخصوي|الخصوية
splenic|الطحالي|الطحالية
jugular|الوداجي|الوداجية
lingular|اللسيني|اللسينية
caudal|الذيلي|الذيلية
marginal|الهامشي|الهامشية
ureteric|الحالبي|الحالبية
autonomic|الذاتي|الذاتية
parasympathetic|نظير الودي|نظيرة الودية
vermian|الدودي المخيخي|الدودية المخيخية
fibrous|الليفي|الليفية
membranous|الغشائي|الغشائية
bony|العظمي|العظمية
skeletal|الهيكلي|الهيكلية
flat|المسطح|المسطحة
irregular|غير المنتظم|غير المنتظمة
pneumatized|المهوّى|المهوّاة
true|الحقيقي|الحقيقية
false|الكاذب|الكاذبة
floating|العائم|العائمة
typical|النموذجي|النموذجية
atypical|غير النموذجي|غير النموذجية
